Company,City Latin Alphabet,Year,ROAA,ROAE,Equity to Assets Ratio,NPL,Total Assets,Loan Ratio,Total Customer Deposits,LLP,Deposit Ratio,SD of ROAA,Z Score
RAIFFEISEN BANK INTERNATIONAL AG,VIENNA,2018,1.01,12.17,8.32,5.68,"1,35,146",57.82,"84,831",3.81,0.627700614,0.275027768,3.523773254
RAIFFEISEN BANK INTERNATIONAL AG,VIENNA,2017,0.51,6.47,8.25,9.20,"1,11,864",58.65,"71,538",6.96,0.639511604,0.429695257,3.022254231
ABN AMRO BANK NV,AMSTERDAM,2023,0.48,8.33,6.01,2.10,"3,79,581",64.26,"2,55,014",0.82,0.671830255,0.203758127,3.461058317
ABN AMRO BANK NV,AMSTERDAM,2022,0.31,5.74,5.51,2.57,"3,99,113",64.71,"2,51,218",0.93,0.629440785,0.226671906,3.245984154
ABN AMRO BANK NV,AMSTERDAM,2021,-0.01,-0.21,5.31,3.31,"3,95,623",63.74,"2,38,570",1.36,0.603023586,0.27737115,2.948902088
ABN AMRO BANK NV,AMSTERDAM,2020,0.54,9.55,5.72,2.50,"3,75,054",71.35,"2,34,991",0.90,0.626552443,0.068973027,4.509145352
ABN AMRO BANK NV,AMSTERDAM,2019,0.61,11.01,5.60,2.16,"3,81,295",71.04,"2,36,123",0.83,0.619265923,0.102444193,4.104409799
ABN AMRO BANK NV,AMSTERDAM,2018,0.71,13.86,5.43,2.49,"3,93,171",69.92,"2,36,699",0.89,0.602025582,0.114555891,3.980508217
ABN AMRO BANK NV,AMSTERDAM,2017,0.45,9.89,4.80,3.28,"3,94,482",67.86,"2,28,758",1.35,0.579894647,0.080690557,4.287937803
PPF GROUP N.V.,AMSTERDAM,2023,0.40,1.78,23.19,8.04,"39,883",21.01,"10,020",8.53,0.251234862,0.573513598,3.716902614
PPF GROUP N.V.,AMSTERDAM,2022,0.67,3.11,21.64,9.30,"42,186",27.84,"10,593",9.50,0.251102261,1.145460922,2.969096855
PPF GROUP N.V.,AMSTERDAM,2021,-0.66,-3.22,21.48,7.22,"39,658",35.85,"9,175",11.95,0.231353069,1.306213132,2.768627906
PPF GROUP N.V.,AMSTERDAM,2020,2.15,11.52,19.65,5.18,"48,614",44.73,"10,295",7.01,0.211770272,0.028019598,6.656762056
PPF GROUP N.V.,AMSTERDAM,2019,2.08,11.32,17.52,8.73,"45,084",41.67,"9,630",10.37,0.213601278,1.162750101,2.824717478
PPF GROUP N.V.,AMSTERDAM,2018,2.11,9.76,19.30,91.44,"38,222",44.65,"9,762",8.03,0.255402648,1.296820857,2.804172294
PPF GROUP N.V.,AMSTERDAM,2017,4.58,17.92,25.01,88.07,"27,041",41.71,"8,285",7.62,0.306386598,1.370409491,2.858098182
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",FRANKFURT AM MAIN,2023,0.21,4.76,4.40,1.41,"6,28,365",32.10,"1,59,429",0.96,0.25372037,0.07995114,4.054551553
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",FRANKFURT AM MAIN,2022,0.36,7.53,4.57,1.42,"6,27,273",30.89,"1,38,975",0.98,0.221554251,0.086426851,4.04284945
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",FRANKFURT AM MAIN,2021,0.17,3.42,4.90,2.02,"5,94,535",31.63,"1,33,925",1.18,0.225260077,0.081911353,4.124652657
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",FRANKFURT AM MAIN,2020,0.35,7.30,4.97,2.06,"5,59,379",32.90,"1,31,516",1.19,0.235110721,0.072161411,4.299672764
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",FRANKFURT AM MAIN,2019,0.18,3.90,4.53,2.90,"5,18,733",33.20,"1,32,548",1.28,0.255522591,0.105433165,3.799752688
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",FRANKFURT AM MAIN,2018,0.22,4.73,4.65,3.66,"5,05,594",33.94,"1,26,319",1.59,0.249842759,0.092985438,3.957447552
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN",FRANKFURT AM MAIN,2017,0.35,7.54,4.49,2.53,"5,09,447",34.19,"1,24,425",1.34,0.244235416,0.08064851,4.126884641
KBC BANK NV,BRUSSELS,2023,0.70,12.08,5.53,2.27,"3,22,088",54.67,"2,35,040",1.47,0.729738457,0.173899719,3.579202784
KBC BANK NV,BRUSSELS,2022,0.73,12.34,6.12,2.55,"3,02,991",52.04,"2,07,147",1.61,0.683673772,0.202136455,3.522805222
KBC BANK NV,BRUSSELS,2021,0.35,5.72,5.65,3.36,"2,84,399",55.43,"1,98,419",2.29,0.697678262,0.232289673,3.250878323
KBC BANK NV,BRUSSELS,2020,0.81,12.27,6.52,3.55,"2,53,917",60.56,"1,85,683",1.82,0.731274393,0.029374174,5.519296519
KBC BANK NV,BRUSSELS,2019,0.86,13.48,6.71,4.46,"2,48,940",58.17,"1,77,911",2.37,0.714674219,0.104914739,4.279509941
KBC BANK NV,BRUSSELS,2018,0.88,14.64,6.11,6.18,"2,56,322",54.26,"1,77,773",2.83,0.693553421,0.103310003,4.21427177
KBC BANK NV,BRUSSELS,2017,0.96,15.88,5.92,7.75,"2,39,333",54.96,"1,51,454",3.73,0.632817037,0.174439845,3.701843596
NATIXIS SA,PARIS,2023,0.37,9.14,4.57,3.38,"4,28,821",16.79,"36,535",1.71,0.085198719,0.142001165,3.548995994
NATIXIS SA,PARIS,2022,0.28,7.46,3.71,4.59,"5,68,594",11.97,"33,558",1.86,0.059019265,0.173237582,3.136324788
NATIXIS SA,PARIS,2021,0.04,0.90,3.87,5.52,"5,01,075",12.93,"29,781",2.09,0.059434216,0.181923158,3.067032025
NATIXIS SA,PARIS,2020,0.46,10.84,4.19,4.53,"4,96,754",13.74,"30,364",1.97,0.061124822,0.045738762,4.621971825
NATIXIS SA,PARIS,2019,0.37,8.92,4.28,3.67,"4,95,496",13.52,"35,928",1.82,0.072509163,0.041802069,4.711245625
NATIXIS SA,PARIS,2018,0.36,8.84,4.04,4.62,"5,19,987",18.65,"40,773",2.00,0.078411576,0.035569815,4.815831971
NATIXIS SA,PARIS,2017,0.28,7.04,4.00,4.36,"5,27,859",19.29,"40,873",2.07,0.077431663,0.028360907,5.026197457
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,MONTROUGE,2023,0.28,6.73,3.90,2.68,"7,28,202",24.42,"1,86,376",1.65,0.255939973,0.021956349,5.24785508
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,MONTROUGE,2022,0.28,6.92,4.42,2.28,"5,99,721",27.53,"1,58,747",1.52,0.264701419,0.026191851,5.191337777
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,MONTROUGE,2021,0.24,6.03,3.81,2.91,"5,93,890",23.69,"1,48,579",1.87,0.250179326,0.028688277,4.947938631
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,MONTROUGE,2020,0.30,7.38,4.01,2.34,"5,52,743",26.00,"1,32,668",1.52,0.240017513,0.031164006,4.927597044
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,MONTROUGE,2019,0.30,7.52,3.99,2.37,"5,11,702",26.20,"1,22,971",1.71,0.240317607,0.047424388,4.504600214
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,MONTROUGE,2018,0.23,6.03,3.90,2.87,"4,88,586",27.45,"1,05,599",2.24,0.216131858,0.030014643,4.923869689
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK SA,MONTROUGE,2017,0.22,6.45,3.74,3.62,"5,24,261",25.74,"1,05,824",2.66,0.201853657,0.026278662,5.055044894
LA BANQUE POSTALE,PARIS,2023,0.13,3.34,3.81,1.59,"7,17,131",18.11,"2,12,498",1.11,0.296316851,0.371825301,2.361305633
LA BANQUE POSTALE,PARIS,2022,0.15,3.50,4.11,1.32,"7,72,310",15.77,"2,11,543",1.09,0.273909441,0.337426682,2.536518753
LA BANQUE POSTALE,PARIS,2021,0.93,21.20,4.40,1.34,"7,37,176",16.13,"2,05,541",1.01,0.278822154,0.290885132,2.908269369
LA BANQUE POSTALE,PARIS,2020,0.30,7.32,4.34,1.28,"2,71,683",39.30,"1,88,289",0.76,0.693046676,0.017397484,5.58631282
LA BANQUE POSTALE,PARIS,2019,0.32,7.75,3.94,1.50,"2,45,201",39.04,"1,81,877",0.79,0.741745294,0.010741576,5.983857899
LA BANQUE POSTALE,PARIS,2018,0.35,8.01,4.36,1.41,"2,31,477",38.07,"1,79,399",0.68,0.775018007,0.0084146,6.326762594
LA BANQUE POSTALE,PARIS,2017,0.33,7.74,4.28,1.36,"2,29,577",33.97,"1,73,250",0.66,0.754647312,0.007089224,6.494206846
CREDIT INDUSTRIEL ET COMMERCIAL SA - CIC,PARIS,2023,0.60,13.09,4.44,2.39,"4,06,610",58.73,"2,22,132",1.37,0.546302354,0.186722804,3.294406938
CREDIT INDUSTRIEL ET COMMERCIAL SA - CIC,PARIS,2022,0.59,13.12,4.70,2.38,"3,61,389",60.74,"2,17,815",1.56,0.602716187,0.165752661,3.463161035
CREDIT INDUSTRIEL ET COMMERCIAL SA - CIC,PARIS,2021,0.20,4.28,4.31,2.51,"3,54,257",58.64,"2,13,695",1.72,0.603220261,0.137981133,3.486125733
CREDIT INDUSTRIEL ET COMMERCIAL SA - CIC,PARIS,2020,0.48,9.54,4.99,2.73,"3,13,830",59.78,"1,69,303",1.58,0.5394736,0.007664008,6.571118286
CREDIT INDUSTRIEL ET COMMERCIAL SA - CIC,PARIS,2019,0.50,9.23,5.12,2.75,"2,94,704",60.22,"1,50,036",1.60,0.509107443,0.026688054,5.350359179
CREDIT INDUSTRIEL ET COMMERCIAL SA - CIC,PARIS,2018,0.48,8.81,5.71,2.97,"2,64,840",64.93,"1,44,134",1.48,0.544230479,0.029833725,5.33545411
CREDIT INDUSTRIEL ET COMMERCIAL SA - CIC,PARIS,2017,0.52,9.99,5.24,3.28,"2,69,316",58.95,"1,37,197",1.64,0.509427587,0.030541342,5.318115944
BANCO DE SABADELL SA,ALICANTE,2023,0.35,6.63,5.26,3.38,"2,51,380",63.14,"1,63,672",1.87,0.651093509,0.142273061,3.673879693
BANCO DE SABADELL SA,ALICANTE,2022,0.22,4.23,5.16,3.55,"2,51,947",62.46,"1,62,179",2.06,0.643704447,0.143321871,3.625213249
BANCO DE SABADELL SA,ALICANTE,2021,0.00,0.02,5.30,3.50,"2,35,763",63.25,"1,51,257",2.02,0.641561656,0.142104473,3.618841336
BANCO DE SABADELL SA,ALICANTE,2020,0.35,6.19,5.80,3.93,"2,23,754",65.96,"1,46,411",1.95,0.654340615,0.098789885,4.130698066
BANCO DE SABADELL SA,ALICANTE,2019,0.15,2.65,5.45,4.44,"2,22,322",64.05,"1,36,546",2.35,0.614179953,0.093807625,4.089509474
BANCO DE SABADELL SA,ALICANTE,2018,0.37,6.12,5.97,5.41,"2,21,348",63.97,"1,30,558",2.56,0.589829667,0.018138726,5.857288831
BANCO DE SABADELL SA,ALICANTE,2017,0.34,5.54,6.16,6.42,"2,12,508",68.31,"1,32,342",3.28,0.622765049,0.064174774,4.588796501
BPER BANCA S.P.A.,MODENA,2023,1.02,19.68,5.33,3.09,"1,52,303",69.52,"1,07,415",2.23,0.705272308,0.30414727,3.039178659
BPER BANCA S.P.A.,MODENA,2022,0.49,8.47,5.03,4.50,"1,36,348",68.77,"95,100",2.98,0.697483737,0.096930029,4.041673836
BPER BANCA S.P.A.,MODENA,2021,0.30,4.51,6.81,6.81,"93,062",70.44,"58,165",3.27,0.625011838,0.135190776,3.962678346
BPER BANCA S.P.A.,MODENA,2020,0.53,7.74,6.70,9.69,"79,033",75.77,"51,849",5.21,0.656032003,0.155459943,3.838557744
BPER BANCA S.P.A.,MODENA,2019,0.63,8.40,6.93,12.46,"70,635",74.39,"42,055",7.09,0.595393371,0.216252274,3.554210575
BPER BANCA S.P.A.,MODENA,2018,0.26,3.14,8.01,19.28,"71,339",67.78,"40,545",11.49,0.568350239,0.140221526,4.077534328
BPER BANCA S.P.A.,MODENA,2017,0.03,0.28,8.55,22.14,"64,960",70.03,"37,133",9.86,0.571623788,0.15247046,3.965033317
VOLKSWAGEN FINANCIAL SERVICES AG,BRAUNSCHWEIG,2023,1.43,11.53,13.20,0.57,"1,33,367",65.12,"24,219",2.87,0.181596647,0.474460948,3.428919327
VOLKSWAGEN FINANCIAL SERVICES AG,BRAUNSCHWEIG,2022,1.84,16.38,11.58,0.68,"1,24,590",64.45,"19,539",2.70,0.156826391,0.494763048,3.300547159
VOLKSWAGEN FINANCIAL SERVICES AG,BRAUNSCHWEIG,2021,0.69,6.42,10.82,0.50,"1,17,834",67.44,"20,208",2.84,0.171495494,0.10061974,4.740134468
VOLKSWAGEN FINANCIAL SERVICES AG,BRAUNSCHWEIG,2020,0.92,8.88,10.70,0.43,"1,12,444",70.43,"15,740",2.58,0.13998079,0.085852408,4.907896312
VOLKSWAGEN FINANCIAL SERVICES AG,BRAUNSCHWEIG,2019,0.73,7.01,9.96,0.82,"80,462",73.34,"12,345",3.16,0.153426462,0.11496662,4.532982753
VOLKSWAGEN FINANCIAL SERVICES AG,BRAUNSCHWEIG,2018,0.91,7.36,11.06,1.98,"68,953",72.23,"9,673",3.49,0.140283962,0.071086158,5.125800958
VOLKSWAGEN FINANCIAL SERVICES AG,BRAUNSCHWEIG,2017,0.91,7.18,13.01,2.43,"1,30,248",77.29,"49,454",2.86,0.379691051,0.071701534,5.117159173
UNICREDIT BANK GMBH,MUNCHEN,2023,0.41,6.93,6.21,2.12,"3,18,006",39.85,"1,42,848",1.41,0.449199072,0.129625101,3.933193377
UNICREDIT BANK GMBH,MUNCHEN,2022,0.10,1.83,5.70,2.44,"3,12,304",39.77,"1,25,286",1.43,0.401166812,0.071681699,4.392793836
UNICREDIT BANK GMBH,MUNCHEN,2021,0.21,3.63,5.29,2.80,"3,38,124",34.80,"1,25,786",1.60,0.372011451,0.044979167,4.805342024
UNICREDIT BANK GMBH,MUNCHEN,2020,0.27,4.36,6.23,2.16,"3,03,598",40.09,"1,15,347",1.48,0.379933333,0.11510517,4.034391207
UNICREDIT BANK GMBH,MUNCHEN,2019,0.16,2.60,6.36,2.50,"2,87,334",40.79,"1,09,256",1.63,0.380240417,0.143397889,3.817335461
UNICREDIT BANK GMBH,MUNCHEN,2018,0.44,6.80,6.31,3.02,"2,99,060",39.27,"1,08,442",1.84,0.36260951,0.160126277,3.742162786
UNICREDIT BANK GMBH,MUNCHEN,2017,0.05,0.76,6.76,3.93,"3,02,090",38.41,"1,00,765",2.16,0.333559535,0.114936057,4.013937241
SANTANDER CONSUMER FINANCE,BOADILLA DEL MONTE,2023,1.23,11.61,10.89,2.01,"1,30,280",81.75,"41,327",1.80,0.317219251,0.262619577,3.83190052
SANTANDER CONSUMER FINANCE,BOADILLA DEL MONTE,2022,1.19,10.92,10.23,2.00,"1,30,931",76.04,"39,088",2.08,0.298542153,0.277580059,3.716836228
SANTANDER CONSUMER FINANCE,BOADILLA DEL MONTE,2021,0.65,5.63,11.59,2.03,"1,20,035",81.18,"37,501",2.21,0.312417045,0.334937675,3.598262796
SANTANDER CONSUMER FINANCE,BOADILLA DEL MONTE,2020,1.28,10.68,11.56,1.97,"1,14,583",85.79,"37,282",1.93,0.32536631,0.059391373,5.376033604
SANTANDER CONSUMER FINANCE,BOADILLA DEL MONTE,2019,1.42,11.70,12.47,1.98,"1,05,612",87.00,"34,541",2.03,0.32705572,0.067827963,5.322263447
SANTANDER CONSUMER FINANCE,BOADILLA DEL MONTE,2018,1.32,11.66,11.79,2.18,"99,716",86.88,"33,540",2.15,0.336351118,0.075863368,5.152363593
SANTANDER CONSUMER FINANCE,BOADILLA DEL MONTE,2017,1.34,12.33,10.80,2.38,"96,242",85.18,"33,257",2.56,0.345562753,0.220282053,4.087995355
OP FINANCIAL GROUP (COMBINED),HELSINKI,2023,0.52,6.29,8.35,2.51,"1,75,691",56.09,"81,468",0.70,0.463700474,0.053764784,5.105510252
OP FINANCIAL GROUP (COMBINED),HELSINKI,2022,0.54,6.62,8.15,2.67,"1,74,110",55.68,"77,898",0.73,0.447406812,0.050782064,5.142083228
OP FINANCIAL GROUP (COMBINED),HELSINKI,2021,0.42,4.99,8.18,2.51,"1,60,207",58.45,"73,422",0.70,0.458294581,0.049734339,5.153018013
OP FINANCIAL GROUP (COMBINED),HELSINKI,2020,0.47,5.51,8.55,1.40,"1,47,024",62.21,"68,290",0.60,0.464481989,0.055824673,5.08454086
OP FINANCIAL GROUP (COMBINED),HELSINKI,2019,0.54,6.55,8.37,1.41,"1,40,294",62.03,"66,110",0.60,0.471224714,0.076175782,4.761655492
OP FINANCIAL GROUP (COMBINED),HELSINKI,2018,0.60,7.66,8.08,0.76,"1,37,205",59.91,"65,549",0.59,0.47774498,0.053488117,5.089487974
OP FINANCIAL GROUP (COMBINED),HELSINKI,2017,0.71,9.36,7.65,0.81,"1,33,747",58.77,"60,077",0.64,0.449183907,0.066988483,4.8763123
ALLIED IRISH BANKS PLC,DUBLIN,2023,0.59,5.91,9.44,3.40,"1,29,752",45.94,"1,02,362",2.64,0.788904988,0.603373116,2.811138941
ALLIED IRISH BANKS PLC,DUBLIN,2022,0.55,4.80,10.69,5.12,"1,27,890",44.20,"92,870",3.23,0.726170928,0.557307239,3.003411654
ALLIED IRISH BANKS PLC,DUBLIN,2021,-0.71,-5.36,12.16,7.17,"1,10,405",51.50,"81,969",4.23,0.742439201,0.784868656,2.680282472
ALLIED IRISH BANKS PLC,DUBLIN,2020,0.38,2.60,14.44,5.37,"98,575",61.69,"71,807",2.00,0.728450418,0.38632168,3.647383459
ALLIED IRISH BANKS PLC,DUBLIN,2019,1.21,7.98,15.14,9.18,"91,541",66.50,"67,698",3.24,0.739537475,0.069779621,5.456639744
ALLIED IRISH BANKS PLC,DUBLIN,2018,1.20,8.33,15.11,9.99,"90,061",66.61,"64,491",5.28,0.716081323,0.068553221,5.47210627
ALLIED IRISH BANKS PLC,DUBLIN,2017,1.36,10.72,13.75,14.01,"95,622",63.42,"62,880",7.04,0.657589258,0.248451999,4.194511111
BANK OF IRELAND,DUBLIN 4,2023,0.55,7.81,7.23,3.50,"1,50,709",47.75,"99,388",1.77,0.659469574,0.56076003,2.629357217
BANK OF IRELAND,DUBLIN 5,2022,0.73,10.71,6.85,5.44,"1,55,296",49.21,"93,048",2.50,0.599165465,0.531385796,2.656636307
BANK OF IRELAND,DUBLIN 6,2021,-0.54,-7.72,6.67,5.67,"1,33,786",57.24,"88,015",2.84,0.657879001,0.47368432,2.560756291
BANK OF IRELAND,DUBLIN 7,2020,0.35,4.68,7.39,3.95,"1,31,918",60.25,"83,113",1.62,0.630035325,0.098865245,4.360379247
BANK OF IRELAND,DUBLIN 8,2019,0.55,7.53,7.44,5.79,"1,23,696",62.22,"78,084",2.20,0.631257276,0.070274769,4.732695548
BANK OF IRELAND,DUBLIN 9,2018,0.56,7.64,7.10,5.15,"1,22,587",62.10,"75,975",3.01,0.619763923,0.066536973,4.746180932
BANK OF IRELAND,DUBLIN 10,2017,0.63,8.62,7.68,7.57,"1,22,667",63.98,"75,104",4.72,0.612259206,0.053837908,4.96650585
CAISSE FEDERALE DE CREDIT MUTUEL,STRASBOURG,2023,0.52,4.49,11.83,1.30,"2,19,453",82.15,"1,48,090",0.53,0.674814149,0.03338142,5.913511147
CAISSE FEDERALE DE CREDIT MUTUEL,STRASBOURG,2022,0.44,3.85,11.20,1.24,"1,93,460",82.08,"1,30,591",0.55,0.675025474,0.028695544,6.00529054
CAISSE FEDERALE DE CREDIT MUTUEL,STRASBOURG,2021,0.49,4.39,11.45,1.36,"1,81,547",82.09,"1,20,762",0.62,0.665182009,0.056025652,5.361575448
CAISSE FEDERALE DE CREDIT MUTUEL,STRASBOURG,2020,0.42,3.92,10.67,1.45,"1,81,219",74.31,"1,20,694",0.67,0.666010368,0.038702124,5.657573209
CAISSE FEDERALE DE CREDIT MUTUEL,STRASBOURG,2019,0.35,3.22,10.66,1.63,"1,72,418",73.83,"1,11,778",0.74,0.648294869,0.046048497,5.476674796
CAISSE FEDERALE DE CREDIT MUTUEL,STRASBOURG,2018,0.44,4.03,10.97,1.79,"1,61,556",74.59,"1,05,410",0.82,0.652467268,0.01471935,6.653424874
CAISSE FEDERALE DE CREDIT MUTUEL,STRASBOURG,2017,0.47,4.43,10.83,1.91,"1,57,276",74.24,"98,756",0.88,0.627915017,0.024392927,6.151115763
UNIONE DI BANCHE ITALIANE SPA,BERGAMO,2023,0.21,2.84,7.58,7.44,"1,26,616",70.41,"71,695",3.01,0.566243188,0.15924097,3.890441893
UNIONE DI BANCHE ITALIANE SPA,BERGAMO,2022,0.36,4.70,7.35,10.04,"1,25,306",74.18,"68,182",3.96,0.544121118,0.580625708,2.586246583
UNIONE DI BANCHE ITALIANE SPA,BERGAMO,2021,0.60,7.52,7.85,12.54,"1,27,376",74.70,"68,268",5.05,0.535953354,0.552029846,2.728636622
UNIONE DI BANCHE ITALIANE SPA,BERGAMO,2020,-0.74,-8.63,8.06,14.49,"1,12,384",72.73,"53,621",5.61,0.477126669,0.371427947,2.981951124
UNIONE DI BANCHE ITALIANE SPA,BERGAMO,2019,0.12,1.38,8.97,15.30,"1,17,201",71.51,"49,092",4.73,0.418870781,0.310342436,3.377808205
UNIONE DI BANCHE ITALIANE SPA,BERGAMO,2018,-0.57,-6.53,8.51,13.68,"1,21,787",69.88,"45,922",4.54,0.377065299,0.341525077,3.145485395
UNIONE DI BANCHE ITALIANE SPA,BERGAMO,2017,0.21,2.52,9.00,12.79,"1,24,242",71.15,"44,946",4.17,0.361758648,0.743433453,2.462039697
BANCA MONTE DEI PASCHI DI SIENA SPA,SIENA,2023,-0.14,-2.54,6.54,3.92,"1,20,235",68.09,"72,790",2.44,0.605397862,0.598413147,2.369714303
BANCA MONTE DEI PASCHI DI SIENA SPA,SIENA,2022,0.21,5.18,4.48,4.76,"1,37,869",60.25,"75,180",2.84,0.545303033,0.59184044,2.070554196
BANCA MONTE DEI PASCHI DI SIENA SPA,SIENA,2021,-1.19,-24.00,3.84,4.61,"1,50,345",55.56,"81,175",2.19,0.539926726,0.588242517,1.503616836
BANCA MONTE DEI PASCHI DI SIENA SPA,SIENA,2020,-0.79,-11.96,6.26,12.06,"1,32,196",64.19,"70,353",6.43,0.53218882,1.072453005,1.630695324
BANCA MONTE DEI PASCHI DI SIENA SPA,SIENA,2019,0.21,2.87,6.89,16.15,"1,30,481",63.73,"65,976",9.71,0.50563866,1.215334399,1.765048843
BANCA MONTE DEI PASCHI DI SIENA SPA,SIENA,2018,-2.40,-41.47,7.50,38.63,"1,39,154",58.88,"68,600",26.36,0.492981555,1.152894884,1.487004035
BANCA MONTE DEI PASCHI DI SIENA SPA,SIENA,2017,-2.01,-40.18,4.22,36.91,"1,53,178",63.87,"55,407",21.13,0.361714838,1.277361572,1.458203165
"BANCO COMERCIAL PORTUGUES, SA",PORTO,2023,0.14,2.00,6.59,3.95,"89,861",60.87,"75,430",2.67,0.839413408,0.090193022,4.312455346
"BANCO COMERCIAL PORTUGUES, SA",PORTO,2022,0.03,0.35,7.60,4.82,"92,905",59.26,"69,532",3.25,0.748416659,0.196807463,3.657533069
"BANCO COMERCIAL PORTUGUES, SA",PORTO,2021,0.25,2.82,8.61,6.01,"85,813",61.15,"62,985",3.74,0.733975388,0.138296547,4.159474826
"BANCO COMERCIAL PORTUGUES, SA",PORTO,2020,0.51,5.60,9.04,7.94,"81,643",61.49,"59,105",4.59,0.723941387,0.067168579,4.95712693
"BANCO COMERCIAL PORTUGUES, SA",PORTO,2019,0.57,5.92,9.17,11.33,"75,923",60.39,"52,649",5.86,0.69344856,0.135420757,4.275496153
"BANCO COMERCIAL PORTUGUES, SA",PORTO,2018,0.40,4.65,9.98,5.76,"71,939",66.21,"51,058",6.52,0.709736494,0.117587772,4.480898585
"BANCO COMERCIAL PORTUGUES, SA",PORTO,2017,0.20,2.66,7.39,6.76,"71,265",67.38,"45,674",7.23,0.640908162,0.255476351,3.685029879
CAIXA GERAL DE DEPOSITOS,LISBON,2023,0.89,9.84,9.25,3.44,"1,02,503",49.62,"83,972",4.24,0.819212068,0.1314858,4.345844038
CAIXA GERAL DE DEPOSITOS,LISBON,2022,0.65,7.05,8.93,4.13,"1,04,010",48.34,"79,748",4.40,0.76673224,0.15498911,4.123823481
CAIXA GERAL DE DEPOSITOS,LISBON,2021,0.59,6.06,9.52,4.57,"91,375",52.55,"72,019",4.47,0.788168728,0.166561387,4.106176735
CAIXA GERAL DE DEPOSITOS,LISBON,2020,0.94,9.80,9.99,5.36,"85,776",56.09,"65,781",4.28,0.766886961,0.353978675,3.430121475
CAIXA GERAL DE DEPOSITOS,LISBON,2019,0.59,6.52,9.30,9.28,"89,091",58.00,"63,423",6.07,0.711881336,0.932119672,2.361996077
CAIXA GERAL DE DEPOSITOS,LISBON,2018,0.08,1.26,8.87,11.33,"93,248",59.26,"63,631",7.62,0.68238413,0.887733264,2.311369922
CAIXA GERAL DE DEPOSITOS,LISBON,2017,-1.88,-36.26,4.15,7.22,"93,547",67.20,"69,521",8.22,0.743165825,0.810452472,2.155527418
